Time_Spent_on_Site,Total_Amount_Spent,Page_Views,AOV,Group
90.98790607,496.88,12,47.34808408,A
50.79439015,347.66,14,38.61425191,A
66.20626405,161.5,13,21.52057791,A
61.22581016,70.91,8,11.53344132,A
122.8621884,1014.99,14,90.84658163,A
65.07377612,9.01,13,6.929424123,A
102.6290393,126.98,16,25.5486774,A
109.287178,139.59,17,23.66569059,A
150.4239148,19.01,16,11.70017814,A
64.22671247,579.67,16,79.78629779,A
67.27627767,89.46,15,18.50658135,A
104.640519,35.14,21,15.14106682,A
34.73317497,86.25,11,9.912382793,A
51.98649052,638.59,13,80.92093418,A
102.3585718,79.2,14,12.64056064,A
75.17884964,107.17,12,16.05140148,A
105.2614861,135.76,21,29.49444423,A
58.72146349,48.8,7,10.59586529,A
47.39928488,428.71,12,42.42002199,A
51.27574536,447.82,14,47.37777058,A
80.56359748,0,11,0,A
73.81867819,29.02,10,10.41853133,A
122.0046646,164.26,22,16.24740087,A
65.52742619,628.5,13,66.7682597,A
82.20769546,36.02,16,9.136301798,A
124.4765746,115.92,14,16.37806246,A
75.7953052,64.1,12,13.05703083,A
105.6181389,0,14,0,A
97.46369529,106.56,12,16.73908542,A
121.5868894,852.72,14,83.18082482,A
39.57064476,91.27,16,11.40151765,A
119.8152941,36.69,10,13.81998469,A
226.3949167,93.04,29,46.65528216,A
87.84869216,614.7,11,57.51544865,A
194.057089,44.39,16,16.63639067,A
183.3782573,55.19,22,15.78677897,A
28.74581148,5.9,10,4.02875378,A
161.0452092,69.21,16,14.77884932,A
56.96990091,516.6,17,41.04593461,A
171.8323345,41.56,21,16.84880479,A
147.324055,0,19,0,A
132.8898903,120.5,17,25.51778179,A
121.0364362,168.32,14,31.52944295,A
124.2164748,80.72,21,21.96962187,A
59.41512358,229.72,8,24.53568898,A
59.82309952,423.12,9,56.79038054,A
57.63209178,623.08,12,43.22255584,A
127.0525857,189.93,16,31.85316245,A
41.78117848,87.69,7,13.81504416,A
132.6362035,246.45,20,39.50224868,A
69.25577557,2652.98,10,290.9209517,A
46.90714935,67.38,9,12.72853128,A
46.67581665,94.85,10,10.29345742,A
53.71217794,60.65,14,12.23307658,A
38.05396728,2121.89,12,189.0969412,A
103.4502703,879.98,15,93.17511679,A
122.4768542,75.31,15,19.01451208,A
129.2002276,101.92,13,22.40036981,A
58.48583628,225.34,12,19.20679744,A
228.3270442,193.51,26,49.54985484,A
80.20849862,985.98,14,100.614384,A
113.0457482,133.86,13,19.24833191,A
99.9287782,284.34,8,28.37068855,A
83.69392556,743.74,10,77.43239223,A
31.59046028,411.47,19,36.79735442,A
73.60674111,166.65,14,28.31040594,A
84.56029877,790.16,16,105.6860199,A
56.52258612,16.77,10,6.022188881,A
69.92609172,158.52,14,20.82055346,A
41.77984556,120.3,11,18.84050229,A
68.13383353,7.89,9,5.961416516,A
103.0239006,0,12,0,A
113.6824732,84.73,22,20.0621047,A
48.2150883,874.09,10,81.75513605,A
79.04676185,21.87,11,9.455180317,A
49.46632374,98.14,14,11.67339318,A
76.38173067,593.39,9,82.80260479,A
71.53312249,33.49,14,7.910033593,A
121.3249782,70.87,18,14.58851905,A
130.2019132,122.08,15,19.62882832,A
86.78516644,26.49,15,8.812306068,A
75.54893746,22.28,16,7.426784834,A
144.7865879,680.77,23,102.4820961,A
87.52482436,152.34,7,20.0691227,A
170.7580161,188.4,18,28.69944892,A
35.33982888,138.7,9,19.03060215,A
181.3732729,74.21,19,18.10501073,A
58.74245882,54.59,9,10.5784535,A
46.47093151,228.14,9,23.78960083,A
78.22974692,77.84,15,16.43154667,A
44.70902688,177.69,13,20.24423189,A
106.3245684,59.99,17,14.94032086,A
283.4206968,1646.26,32,174.4330578,A
92.36094232,905.95,16,99.03738541,A
305.1709688,136.81,34,79.88045214,A
280.3313665,401.38,33,58.73338411,A
83.97276488,24.63,14,9.881599791,A
72.80862768,168.86,13,23.83151637,A
177.297252,136.97,18,30.78508199,A
107.2252807,21.22,9,10.24477635,A
88.57630028,84.05,22,15.39968581,A
31.61925544,218.46,9,27.1648831,A
96.65243146,0,12,0,A
148.427525,633.04,17,54.65925036,A
56.65842706,81.29,11,10.34826901,A
112.4751542,501.27,22,64.60826041,A
17.62215114,43.21,12,9.030667387,A
42.91466131,1265.16,11,161.760134,A
28.21932139,66.8,11,10.76596219,A
84.27518513,43.77,16,12.70583043,A
74.21081451,99.53,11,14.69553499,A
75.87736231,88.9,10,19.95325667,A
64.29935276,28.41,10,8.230116483,A
133.1657766,71.94,16,16.80019452,A
43.19069254,207.88,14,32.1962328,A
77.08929039,502.21,12,70.26840537,A
107.7939168,266.04,16,36.78206413,A
73.13670445,189.5,11,27.68484891,A
76.44940128,289.22,13,6.660290199,A
52.95734723,34.24,10,8.262103721,A
67.66316255,583.74,12,77.53757543,A
283.4012088,111.15,33,67.44947576,A
29.14535472,102.68,12,9.623107706,A
73.92212026,178.16,14,30.25316647,A
59.73505719,77.17,11,12.60385357,A
77.23659597,1289.49,12,150.8669972,A
194.1473195,16.73,24,12.14739514,A
63.98905086,0,11,0,A
168.4626265,322.64,18,42.65746914,A
138.6816468,42.33,13,12.12534585,A
81.20483532,38.64,15,10.67725456,A
83.56122027,1142.91,11,117.2164669,A
87.58800907,1303.1,11,84.78952632,A
52.95490679,15.68,13,6.76213124,A
109.4476134,0,16,0,A
106.9166743,26.73,24,14.24198029,A
